match_id,event_id,event_name,division,round,match_number,scheduled,field,alliance_color,alliance_score,team_id,team_name,result
122920924,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,3,2025-11-28T09:07:30-05:00,College Ciencia Field,blue,130,180340,UPSP1,win
122920924,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,3,2025-11-28T09:07:30-05:00,College Ciencia Field,red,32,180422,ITMOR1,loss
122920941,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,20,2025-11-28T10:15:00-05:00,Cancha VU Math,blue,109,180340,UPSP1,win
122920941,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,20,2025-11-28T10:15:00-05:00,Cancha VU Math,red,29,165665,TCGMC2,loss
122920956,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,35,2025-11-28T11:22:30-05:00,College Ciencia Field,blue,28,86615,IEST1,loss
122920956,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,35,2025-11-28T11:22:30-05:00,College Ciencia Field,red,88,180340,UPSP1,win
122920967,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,46,2025-11-28T12:07:30-05:00,Cancha VU Math,blue,173,180340,UPSP1,win
122920967,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,46,2025-11-28T12:07:30-05:00,Cancha VU Math,red,0,126341,ITSMQ,loss
122920977,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,56,2025-11-28T12:45:00-05:00,Cancha VU Math,blue,17,150432,UTCJ2,loss
122920977,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,56,2025-11-28T12:45:00-05:00,Cancha VU Math,red,131,180340,UPSP1,win
122920989,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,68,2025-11-28T13:37:30-05:00,Cancha VU Math,blue,8,150307,UTALT2,loss
122920989,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,68,2025-11-28T13:37:30-05:00,Cancha VU Math,red,135,180340,UPSP1,win
122920999,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,78,2025-11-28T15:22:30-05:00,Cancha VU Math,blue,151,180340,UPSP1,win
122920999,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,78,2025-11-28T15:22:30-05:00,Cancha VU Math,red,12,127717,UTCHE1,loss
122921012,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,91,2025-11-28T16:22:30-05:00,College Ciencia Field,blue,6,150306,UTALT1,loss
122921012,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,91,2025-11-28T16:22:30-05:00,College Ciencia Field,red,140,180340,UPSP1,win
122921018,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,97,2025-11-28T16:45:00-05:00,College Ciencia Field,blue,3,90205,ITESM1,loss
122921018,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,97,2025-11-28T16:45:00-05:00,College Ciencia Field,red,99,180340,UPSP1,win
122921033,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,112,2025-11-28T17:45:00-05:00,Cancha VU Math,blue,115,180340,UPSP1,win
122921033,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,112,2025-11-28T17:45:00-05:00,Cancha VU Math,red,12,64093,UPQR1,loss
122921043,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,122,2025-11-29T08:30:00-05:00,Cancha VU Math,blue,135,180340,UPSP1,win
122921043,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,122,2025-11-29T08:30:00-05:00,Cancha VU Math,red,55,55726,TCMG1,loss
122921049,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,128,2025-11-29T09:00:00-05:00,Cancha VU Math,blue,52,72552,UACH1,loss
122921049,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,128,2025-11-29T09:00:00-05:00,Cancha VU Math,red,94,180340,UPSP1,win
122921068,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,3,1,,College Ciencia Field,blue,47,180422,ITMOR1,loss
122921068,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,3,1,,College Ciencia Field,red,115,180340,UPSP1,win
122921072,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,4,1,,,blue,27,72552,UACH1,loss
122921072,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,4,1,,,red,95,180340,UPSP1,win
122921073,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,4,2,,,blue,27,72552,UACH1,loss
122921073,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,4,2,,,red,140,180340,UPSP1,win
122921076,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,5,1,,,blue,35,27472,TMAT1,loss
122921076,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,5,1,,,red,75,180340,UPSP1,win
122921077,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,5,2,,,blue,54,27472,TMAT1,loss
122921077,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,5,2,,,red,87,180340,UPSP1,win
122921060,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,6,1,,,blue,6,52230,TMAT3,loss
122921060,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,6,1,,,red,176,180340,UPSP1,win
121817558,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,3,2025-11-19T11:39:00-05:00,Field 1,blue,42,178729,UTBAB2,win
121817558,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,3,2025-11-19T11:39:00-05:00,Field 1,red,17,194100,INADE1,loss
121817566,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,11,2025-11-19T12:15:00-05:00,Field 1,blue,13,194100,INADE1,loss
121817566,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,11,2025-11-19T12:15:00-05:00,Field 1,red,67,55726,TCMG1,win
121817574,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,19,2025-11-19T12:57:00-05:00,Field 1,blue,41,187086,UTCHS1,win
121817574,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,19,2025-11-19T12:57:00-05:00,Field 1,red,19,194100,INADE1,loss
121817578,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,23,2025-11-19T13:15:00-05:00,Field 1,blue,3,194100,INADE1,loss
121817578,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,23,2025-11-19T13:15:00-05:00,Field 1,red,84,53020,UTCJ1,win
121817587,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,32,2025-11-19T13:58:00-05:00,Field 1,blue,46,150422,UPCH1,win
121817587,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,32,2025-11-19T13:58:00-05:00,Field 1,red,16,194100,INADE1,loss
121817592,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,37,2025-11-19T14:18:00-05:00,Field 1,blue,22,194100,INADE1,loss
121817592,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,37,2025-11-19T14:18:00-05:00,Field 1,red,40,178728,UTBAB1,win
121817600,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,45,2025-11-19T15:58:00-05:00,Field 1,blue,0,165665,TCGMC2,tie
121817600,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,45,2025-11-19T15:58:00-05:00,Field 1,red,0,194100,INADE1,tie
121817607,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,52,2025-11-19T16:26:00-05:00,Field 1,blue,0,194414,ITCDJ1,tie
121817607,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,52,2025-11-19T16:26:00-05:00,Field 1,red,0,194100,INADE1,tie
121817562,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,7,2025-11-19T11:57:00-05:00,Field 1,blue,45,178729,UTBAB2,win
121817562,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,7,2025-11-19T11:57:00-05:00,Field 1,red,25,194414,ITCDJ1,loss
121817565,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,10,2025-11-19T12:10:30-05:00,Field 1,blue,28,194414,ITCDJ1,loss
121817565,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,10,2025-11-19T12:10:30-05:00,Field 1,red,72,53020,UTCJ1,win
121817569,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,14,2025-11-19T12:34:30-05:00,Field 1,blue,29,194414,ITCDJ1,win
121817569,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,14,2025-11-19T12:34:30-05:00,Field 1,red,23,150424,UTPRR1,loss
121817579,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,24,2025-11-19T13:19:30-05:00,Field 1,blue,53,55726,TCMG1,win
121817579,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,24,2025-11-19T13:19:30-05:00,Field 1,red,34,194414,ITCDJ1,loss
121817583,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,28,2025-11-19T13:42:00-05:00,Field 1,blue,45,194414,ITCDJ1,win
121817583,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,28,2025-11-19T13:42:00-05:00,Field 1,red,0,181721,UTCHH1,loss
121817593,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,38,2025-11-19T15:30:00-05:00,Field 1,blue,60,165665,TCGMC2,win
121817593,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,38,2025-11-19T15:30:00-05:00,Field 1,red,49,194414,ITCDJ1,loss
121817599,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,44,2025-11-19T15:54:00-05:00,Field 1,blue,0,150422,UPCH1,tie
121817599,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,44,2025-11-19T15:54:00-05:00,Field 1,red,0,194414,ITCDJ1,tie
121817556,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,1,2025-11-19T11:30:00-05:00,Field 1,blue,48,165665,TCGMC2,win
121817556,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,1,2025-11-19T11:30:00-05:00,Field 1,red,47,53020,UTCJ1,loss
122920927,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,6,2025-11-28T09:15:00-05:00,Cancha VU Math,blue,91,165665,TCGMC2,win
122920927,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,6,2025-11-28T09:15:00-05:00,Cancha VU Math,red,46,72552,UACH1,loss
121817564,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,9,2025-11-19T12:06:00-05:00,Field 1,blue,6,181721,UTCHH1,loss
121817564,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,9,2025-11-19T12:06:00-05:00,Field 1,red,69,165665,TCGMC2,win
121817572,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,17,2025-11-19T12:48:00-05:00,Field 1,blue,71,165665,TCGMC2,win
121817572,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,17,2025-11-19T12:48:00-05:00,Field 1,red,27,55726,TCMG1,loss
122920946,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,25,2025-11-28T10:37:30-05:00,College Ciencia Field,blue,113,165665,TCGMC2,win
122920946,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,25,2025-11-28T10:37:30-05:00,College Ciencia Field,red,11,147267,UTMY1,loss
121817580,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,25,2025-11-19T13:30:00-05:00,Field 1,blue,38,72552,UACH1,loss
121817580,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,25,2025-11-19T13:30:00-05:00,Field 1,red,61,165665,TCGMC2,win
121817584,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,29,2025-11-19T13:46:00-05:00,Field 1,blue,50,187086,UTCHS1,loss
121817584,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,29,2025-11-19T13:46:00-05:00,Field 1,red,64,165665,TCGMC2,win
122920966,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,45,2025-11-28T12:07:30-05:00,College Ciencia Field,blue,29,150307,UTALT2,loss
122920966,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,45,2025-11-28T12:07:30-05:00,College Ciencia Field,red,101,165665,TCGMC2,win
121817603,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,48,2025-11-19T16:10:00-05:00,Field 1,blue,0,150432,UTCJ2,tie
121817603,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,48,2025-11-19T16:10:00-05:00,Field 1,red,0,165665,TCGMC2,tie
122920978,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,57,2025-11-28T13:00:00-05:00,College Ciencia Field,blue,93,165665,TCGMC2,win
122920978,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,57,2025-11-28T13:00:00-05:00,College Ciencia Field,red,60,55726,TCMG1,loss
122920984,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,63,2025-11-28T13:22:30-05:00,College Ciencia Field,blue,14,126341,ITSMQ,loss
122920984,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,63,2025-11-28T13:22:30-05:00,College Ciencia Field,red,107,165665,TCGMC2,win
122921000,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,79,2025-11-28T15:30:00-05:00,College Ciencia Field,blue,68,27472,TMAT1,win
122921000,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,79,2025-11-28T15:30:00-05:00,College Ciencia Field,red,67,165665,TCGMC2,loss
122921007,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,86,2025-11-28T16:00:00-05:00,Cancha VU Math,blue,25,127717,UTCHE1,loss
122921007,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,86,2025-11-28T16:00:00-05:00,Cancha VU Math,red,107,165665,TCGMC2,win
122921019,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,98,2025-11-28T16:45:00-05:00,Cancha VU Math,blue,101,165665,TCGMC2,win
122921019,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,98,2025-11-28T16:45:00-05:00,Cancha VU Math,red,30,180422,ITMOR1,loss
122921026,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,105,2025-11-28T17:22:30-05:00,College Ciencia Field,blue,113,165665,TCGMC2,win
122921026,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,105,2025-11-28T17:22:30-05:00,College Ciencia Field,red,31,150306,UTALT1,loss
122921045,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,124,2025-11-29T08:37:30-05:00,Cancha VU Math,blue,48,182757,SEEDT1,loss
122921045,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,124,2025-11-29T08:37:30-05:00,Cancha VU Math,red,61,165665,TCGMC2,win
122921051,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,130,2025-11-29T09:07:30-05:00,Cancha VU Math,blue,73,35194,VCAT,win
122921051,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,130,2025-11-29T09:07:30-05:00,Cancha VU Math,red,71,165665,TCGMC2,loss
121817608,63447,Torneo final de Liga estatal de Chihuahua,Default Division,3,1,,,blue,29,150422,UPCH1,loss
121817608,63447,Torneo final de Liga estatal de Chihuahua,Default Division,3,1,,,red,72,165665,TCGMC2,win
